center,left,right,steering,throttle,brake,speed
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_40_828.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_40_828.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_40_828.jpg,0,0,0,0.0008769545
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_40_906.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_40_906.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_40_906.jpg,0,0,0,0.0008764608
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_40_982.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_40_982.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_40_982.jpg,0,0,0,0.0008765711
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_051.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_051.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_051.jpg,0,0,0,0.0008691872
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_128.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_128.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_128.jpg,0,0,0,0.000871259
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_194.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_194.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_194.jpg,0,0,0,0.0008758696
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_270.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_270.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_270.jpg,0,0,0,0.0008692702
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_338.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_338.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_338.jpg,0,0,0,0.0008732713
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_415.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_415.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_415.jpg,0,0,0,0.0008728532
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_494.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_494.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_494.jpg,0,0,0,0.000873483
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_573.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_573.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_573.jpg,0,0,0,0.0008704671
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_648.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_648.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_648.jpg,0,0,0,0.0008718926
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_718.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_718.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_718.jpg,0,0,0,0.0008694783
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_796.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_796.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_796.jpg,0,0.1044602,0,0.1181416
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_871.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_871.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_871.jpg,0,0.2961513,0,0.2930982
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_41_946.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_41_946.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_41_946.jpg,0,0.5263621,0,0.8252106
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_026.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_026.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_026.jpg,0,0.7851391,0,1.599037
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_098.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_098.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_098.jpg,0,1,0,2.596237
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_175.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_175.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_175.jpg,0,1,0,3.705846
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_250.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_250.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_250.jpg,0,1,0,4.539151
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_319.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_319.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_319.jpg,0,1,0,5.641575
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_386.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_386.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_386.jpg,0,1,0,6.462825
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_462.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_462.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_462.jpg,0,1,0,7.550311
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_530.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_530.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_530.jpg,0,1,0,8.360339
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_598.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_598.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_598.jpg,-0.2,1,0,9.433308
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_665.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_665.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_665.jpg,-0.1672436,1,0,10.23129
/Users/astocco/Desktop/dataset5/track3/normal/IMG/center_2019_08_10_23_26_42_732.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/left_2019_08_10_23_26_42_732.jpg,/Users/astocco/Desktop/dataset5/track3/normal/IMG/right_2019_08_10_23_26_42_732.jpg,-0.0003926754,1,0,11.02344
