center,left,right,steering,throttle,brake,speed
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_414.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_414.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_414.jpg,0,0,0,0.000881731
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_487.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_487.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_487.jpg,0,0,0,0.0008853608
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_559.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_559.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_559.jpg,0,0,0,0.0008828561
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_631.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_631.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_631.jpg,0,0,0,0.0008917318
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_701.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_701.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_701.jpg,0,0,0,0.0008850289
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_774.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_774.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_774.jpg,0,0,0,0.0008876928
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_847.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_847.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_847.jpg,0,0,0,0.0008958658
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_919.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_919.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_919.jpg,0,0,0,0.0008802127
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_50_991.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_50_991.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_50_991.jpg,0,0,0,0.0008834444
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_061.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_061.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_061.jpg,0,0.1070309,0,0.06659588
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_140.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_140.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_140.jpg,0,0.3633177,0,0.2281945
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_212.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_212.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_212.jpg,0,0.5804908,0,0.6376678
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_280.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_280.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_280.jpg,0,0.7617327,0,1.14236
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_357.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_357.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_357.jpg,0,1,0,2.054077
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_425.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_425.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_425.jpg,0,1,0,2.775813
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_497.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_497.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_497.jpg,0,1,0,3.762853
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_570.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_570.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_570.jpg,0,1,0,4.740468
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_644.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_644.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_644.jpg,0,1,0,5.468121
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_719.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_719.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_719.jpg,0,1,0,6.431648
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_794.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_794.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_794.jpg,0,1,0,7.387611
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_869.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_869.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_869.jpg,0,1,0,8.336124
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_51_946.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_51_946.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_51_946.jpg,0,1,0,9.042644
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_021.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_021.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_021.jpg,0,1,0,9.978542
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_097.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_097.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_097.jpg,0,1,0,10.90679
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_174.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_174.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_174.jpg,0,0.8446572,0,11.59897
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_256.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_256.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_256.jpg,0,0.6123968,0,12.28397
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_328.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_328.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_328.jpg,0,0.5410365,0,12.68708
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_404.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_404.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_404.jpg,0,0.7310953,0,13.31459
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_480.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_480.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_480.jpg,0,0.9609975,0,13.91156
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_557.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_557.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_557.jpg,0,1,0,14.778
/Users/astocco/Desktop/dataset5/track3/reverse/IMG/center_2019_08_10_23_40_52_632.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/left_2019_08_10_23_40_52_632.jpg,/Users/astocco/Desktop/dataset5/track3/reverse/IMG/right_2019_08_10_23_40_52_632.jpg,0,1,0,15.65698
